11/6/2016,State Employees' Credit Union,13
11/6/2016,TCF NATIONAL BANK,12
11/6/2016,COMPASS BANK,11
11/7/2016,Bank of America,590
11/7/2016,Chase,554
11/7/2016,Wells Fargo Bank,344
11/7/2016,American Express,157
11/7/2016,listing below.  There is no,128
11/7/2016,U.S. Bank,112
11/7/2016,Capital One,102
11/7/2016,NAVY FEDERAL CREDIT UNION,68
11/7/2016,PNC BANK,66
11/7/2016,Citi\u00AE,65
11/7/2016,Citibank®,38
11/7/2016,TD Bank,36
11/7/2016,Regions Bank,30
11/7/2016,Citibank,29
11/7/2016,USAA Federal Savings Bank,21
11/7/2016,Fifth Third Bank,21
11/7/2016,SunTrust,20
11/7/2016,Elan Financial Services Fidelity,15
11/7/2016,COMPASS BANK,11
11/7/2016,KeyBank,11
11/8/2016,Bank of America,597
11/8/2016,Chase,575
11/8/2016,Wells Fargo Bank,356
11/8/2016,American Express,190
11/8/2016,listing below.  There is no,136
11/8/2016,U.S. Bank,104
11/8/2016,Capital One,93
11/8/2016,Citi\u00AE,65
11/8/2016,NAVY FEDERAL CREDIT UNION,63
11/8/2016,PNC BANK,58
11/8/2016,Citibank®,47
11/8/2016,Citibank,28
11/8/2016,Regions Bank,24
11/8/2016,TD Bank,23
11/8/2016,SunTrust,23
11/8/2016,USAA Federal Savings Bank,18
11/8/2016,Fifth Third Bank,16
11/8/2016,Elan Financial Services Fidelity,10
11/8/2016,State Employees' Credit Union,9
11/8/2016,COMPASS BANK,8
11/9/2016,Bank of America,538
11/9/2016,Chase,522
11/9/2016,Wells Fargo Bank,441
11/9/2016,American Express,152
11/9/2016,listing below.  There is no,132
11/9/2016,U.S. Bank,105
11/9/2016,PNC BANK,75
11/9/2016,Capital One,73
11/9/2016,NAVY FEDERAL CREDIT UNION,62
11/9/2016,Citi\u00AE,49
11/9/2016,Citibank®,42
11/9/2016,Regions Bank,30
11/9/2016,TD Bank,29
11/9/2016,Fifth Third Bank,23
11/9/2016,Citibank,20
11/9/2016,SunTrust,20
11/9/2016,USAA Federal Savings Bank,15
11/9/2016,State Employees' Credit Union,13
11/9/2016,BRANCH BANKING and TRUST CO,13
11/9/2016,TCF NATIONAL BANK,12
11/10/2016,Chase,558
11/10/2016,Bank of America,524
11/10/2016,Wells Fargo Bank,375
11/10/2016,American Express,160
11/10/2016,listing below.  There is no,133
11/10/2016,Capital One,100
11/10/2016,U.S. Bank,70
11/10/2016,PNC BANK,65
11/10/2016,Citi\u00AE,51
11/10/2016,NAVY FEDERAL CREDIT UNION,46
11/10/2016,Citibank®,36
11/10/2016,Regions Bank,29
11/10/2016,TD Bank,29
11/10/2016,Citibank,27
11/10/2016,USAA Federal Savings Bank,24
11/10/2016,SunTrust,20
11/10/2016,Elan Financial Services Fidelity,13
11/10/2016,BRANCH BANKING and TRUST CO,12
11/10/2016,Fifth Third Bank,11
11/10/2016,Security Service Federal Credit Union,11
11/11/2016,Chase,514
11/11/2016,Bank of America,494
11/11/2016,Wells Fargo Bank,347
11/11/2016,American Express,161
11/11/2016,listing below.  There is no,120
11/11/2016,NAVY FEDERAL CREDIT UNION,75
11/11/2016,Capital One,73
11/11/2016,U.S. Bank,70
11/11/2016,PNC BANK,59
11/11/2016,Citi\u00AE,49
11/11/2016,Citibank®,36
11/11/2016,Citibank,31
11/11/2016,Regions Bank,27
11/11/2016,TD Bank,26
11/11/2016,USAA Federal Savings Bank,21
11/11/2016,Elan Financial Services Fidelity,15
11/11/2016,SunTrust,15
11/11/2016,COMPASS BANK,12
11/11/2016,Fifth Third Bank,12
11/11/2016,TCF NATIONAL BANK,10
11/12/2016,Chase,463
11/12/2016,Bank of America,437
11/12/2016,Wells Fargo Bank,228
11/12/2016,American Express,153
11/12/2016,listing below.  There is no,122
11/12/2016,Capital One,90
11/12/2016,U.S. Bank,73
11/12/2016,PNC BANK,65
11/12/2016,NAVY FEDERAL CREDIT UNION,55
11/12/2016,Citi\u00AE,46
11/12/2016,Regions Bank,33
11/12/2016,Citibank®,30
11/12/2016,Citibank,28
11/12/2016,TD Bank,27
11/12/2016,USAA Federal Savings Bank,21
11/12/2016,SunTrust,19
11/12/2016,Fifth Third Bank,11
11/12/2016,KeyBank,11
11/12/2016,America First Credit Union,9
11/12/2016,Elan Financial Services Fidelity,8
11/13/2016,Chase,478
11/13/2016,Bank of America,410
11/13/2016,Wells Fargo Bank,266
11/13/2016,American Express,153
11/13/2016,listing below.  There is no,110
11/13/2016,Capital One,78
11/13/2016,PNC BANK,60
11/13/2016,U.S. Bank,60
11/13/2016,Citi\u00AE,58
11/13/2016,NAVY FEDERAL CREDIT UNION,44
11/13/2016,TD Bank,35
11/13/2016,Citibank®,34
11/13/2016,Regions Bank,27
11/13/2016,Citibank,26
11/13/2016,USAA Federal Savings Bank,18
11/13/2016,TCF NATIONAL BANK,15
11/13/2016,Elan Financial Services Fidelity,13
11/13/2016,SunTrust,13
11/13/2016,Fifth Third Bank,11
11/13/2016,USAA SAVINGS BANK,9
11/14/2016,Chase,521
11/14/2016,Bank of America,521
11/14/2016,Capital One,462
11/14/2016,Wells Fargo Bank,436
11/14/2016,American Express,176
11/14/2016,Fifth Third Bank,151
11/14/2016,SunTrust,125
11/14/2016,listing below.  There is no,117
11/14/2016,Citi\u00AE,96
11/14/2016,U.S. Bank,88
11/14/2016,Citibank®,78
11/14/2016,NAVY FEDERAL CREDIT UNION,70
11/14/2016,KeyBank,69
11/14/2016,PNC BANK,53
11/14/2016,RBFCU,37
11/14/2016,Citibank,28
11/14/2016,Security Service Federal Credit Union,25
11/14/2016,People's United Bank,25
11/14/2016,Regions Bank,23
11/14/2016,USAA Federal Savings Bank,20
11/15/2016,Capital One,815
11/15/2016,Bank of America,691
11/15/2016,Chase,537
11/15/2016,Wells Fargo Bank,400
11/15/2016,Fifth Third Bank,192
11/15/2016,American Express,178
11/15/2016,SunTrust,154
11/15/2016,listing below.  There is no,135
11/15/2016,Citi\u00AE,122
11/15/2016,RBFCU,79
11/15/2016,NAVY FEDERAL CREDIT UNION,78
11/15/2016,U.S. Bank,76
11/15/2016,Citibank®,76
11/15/2016,KeyBank,74
11/15/2016,PNC BANK,62
11/15/2016,Security Service Federal Credit Union,48
11/15/2016,Citibank,42
11/15/2016,TD Bank,39
11/15/2016,People's United Bank,37
11/15/2016,Associated Bank,35
11/16/2016,Bank of America,697
11/16/2016,Chase,561
11/16/2016,Capital One,512
11/16/2016,Wells Fargo Bank,428
11/16/2016,Fifth Third Bank,215
11/16/2016,SunTrust,206
11/16/2016,American Express,161
11/16/2016,Citi\u00AE,144
11/16/2016,KeyBank,125
11/16/2016,listing below.  There is no,125
11/16/2016,Citibank®,84
11/16/2016,U.S. Bank,83
11/16/2016,RBFCU,77
11/16/2016,PNC BANK,62
11/16/2016,NAVY FEDERAL CREDIT UNION,60
11/16/2016,Associated Bank,44
11/16/2016,Security Service Federal Credit Union,43
11/16/2016,People's United Bank,35
11/16/2016,USAA Federal Savings Bank,27
11/16/2016,Citibank,25
11/17/2016,Bank of America,525
11/17/2016,Chase,486
11/17/2016,Wells Fargo Bank,326
11/17/2016,Capital One,229
11/17/2016,American Express,157
11/17/2016,listing below.  There is no,137
11/17/2016,Citi\u00AE,82
11/17/2016,U.S. Bank,79
11/17/2016,Fifth Third Bank,69
11/17/2016,PNC BANK,64
11/17/2016,NAVY FEDERAL CREDIT UNION,64
11/17/2016,SunTrust,59
11/17/2016,Citibank®,53
11/17/2016,TD Bank,31
11/17/2016,KeyBank,29
11/17/2016,Regions Bank,27
11/17/2016,Citibank,26
11/17/2016,USAA Federal Savings Bank,25
11/17/2016,RBFCU,15
11/17/2016,Associated Bank,13
11/18/2016,Chase,619
11/18/2016,Bank of America,543
11/18/2016,Wells Fargo Bank,406
11/18/2016,American Express,211
11/18/2016,listing below.  There is no,175
11/18/2016,Capital One,105
11/18/2016,U.S. Bank,95
11/18/2016,PNC BANK,86
11/18/2016,NAVY FEDERAL CREDIT UNION,81
11/18/2016,Citi\u00AE,74
11/18/2016,Citibank®,64
11/18/2016,Regions Bank,38
11/18/2016,SunTrust,30
11/18/2016,Citibank,29
11/18/2016,USAA Federal Savings Bank,29
11/18/2016,TD Bank,28
11/18/2016,Fifth Third Bank,18
11/18/2016,BRANCH BANKING and TRUST CO,15
11/18/2016,TCF NATIONAL BANK,10
11/18/2016,USAA SAVINGS BANK,10
11/19/2016,Chase,631
11/19/2016,Bank of America,584
11/19/2016,Wells Fargo Bank,403
11/19/2016,American Express,194
11/19/2016,listing below.  There is no,153
11/19/2016,Capital One,108
11/19/2016,U.S. Bank,96
11/19/2016,PNC BANK,87
11/19/2016,NAVY FEDERAL CREDIT UNION,84
11/19/2016,Citi\u00AE,78
11/19/2016,Citibank®,49
11/19/2016,Citibank,33
11/19/2016,USAA Federal Savings Bank,33
11/19/2016,TD Bank,31
11/19/2016,Regions Bank,28
11/19/2016,SunTrust,28
11/19/2016,Fifth Third Bank,20
11/19/2016,Elan Financial Services Fidelity,16
11/19/2016,State Employees' Credit Union,15
11/19/2016,BRANCH BANKING and TRUST CO,13
11/20/2016,Bank of America,569
11/20/2016,Chase,550
11/20/2016,Wells Fargo Bank,318
11/20/2016,American Express,195
11/20/2016,listing below.  There is no,127
11/20/2016,Capital One,114
11/20/2016,U.S. Bank,81
11/20/2016,PNC BANK,70
11/20/2016,Citi\u00AE,59
11/20/2016,NAVY FEDERAL CREDIT UNION,56
11/20/2016,Citibank®,40
11/20/2016,USAA Federal Savings Bank,35
11/20/2016,TD Bank,33
11/20/2016,Citibank,31
11/20/2016,Regions Bank,25
11/20/2016,SunTrust,18
11/20/2016,Fifth Third Bank,17
11/20/2016,State Employees' Credit Union,15
11/20/2016,KeyBank,10
11/20/2016,TCF NATIONAL BANK,10
11/21/2016,Chase,582
11/21/2016,Bank of America,574
11/21/2016,Wells Fargo Bank,369
11/21/2016,American Express,170
11/21/2016,listing below.  There is no,115
11/21/2016,Capital One,109
11/21/2016,U.S. Bank,102
11/21/2016,NAVY FEDERAL CREDIT UNION,68
11/21/2016,PNC BANK,60
11/21/2016,Citi\u00AE,56
11/21/2016,Citibank®,40
11/21/2016,TD Bank,32
11/21/2016,Citibank,28
11/21/2016,USAA Federal Savings Bank,25
11/21/2016,SunTrust,23
11/21/2016,Fifth Third Bank,19
11/21/2016,Regions Bank,17
11/21/2016,BRANCH BANKING and TRUST CO,16
11/21/2016,State Employees' Credit Union,12
11/21/2016,RBFCU,12
11/22/2016,Bank of America,533
11/22/2016,Chase,526
11/22/2016,Wells Fargo Bank,359
11/22/2016,Capital One,238
11/22/2016,American Express,170
11/22/2016,listing below.  There is no,109
11/22/2016,U.S. Bank,83
11/22/2016,Citi\u00AE,79
11/22/2016,NAVY FEDERAL CREDIT UNION,69
11/22/2016,PNC BANK,63
11/22/2016,SunTrust,55
11/22/2016,Citibank®,53
11/22/2016,Fifth Third Bank,51
11/22/2016,TD Bank,29
11/22/2016,Citibank,25
11/22/2016,KeyBank,22
11/22/2016,USAA Federal Savings Bank,20
11/22/2016,Regions Bank,18
11/22/2016,RBFCU,15
11/22/2016,State Employees' Credit Union,13
11/23/2016,Chase,578
11/23/2016,Bank of America,541
11/23/2016,Wells Fargo Bank,414
11/23/2016,American Express,207
11/23/2016,listing below.  There is no,122
11/23/2016,U.S. Bank,99
11/23/2016,Capital One,77
11/23/2016,Citi\u00AE,72
11/23/2016,PNC BANK,66
11/23/2016,NAVY FEDERAL CREDIT UNION,60
11/23/2016,Citibank®,40
11/23/2016,Regions Bank,31
11/23/2016,TD Bank,30
11/23/2016,Citibank,29
11/23/2016,SunTrust,27
11/23/2016,USAA Federal Savings Bank,21
11/23/2016,Fifth Third Bank,13
11/23/2016,TCF NATIONAL BANK,12
11/23/2016,COMPASS BANK,11
11/23/2016,BRANCH BANKING and TRUST CO,10
11/24/2016,Chase,470
11/24/2016,Bank of America,437
11/24/2016,Wells Fargo Bank,362
11/24/2016,American Express,161
11/24/2016,listing below.  There is no,108
11/24/2016,Citi\u00AE,78
11/24/2016,U.S. Bank,75
11/24/2016,Capital One,74
11/24/2016,PNC BANK,61
11/24/2016,NAVY FEDERAL CREDIT UNION,60
11/24/2016,Citibank®,39
11/24/2016,Citibank,31
11/24/2016,USAA Federal Savings Bank,23
11/24/2016,TD Bank,22
11/24/2016,SunTrust,18
11/24/2016,Regions Bank,15
11/24/2016,BRANCH BANKING and TRUST CO,13
11/24/2016,TCF NATIONAL BANK,12
11/24/2016,Fifth Third Bank,12
11/24/2016,State Employees' Credit Union,11
11/25/2016,Chase,629
11/25/2016,Bank of America,579
11/25/2016,Wells Fargo Bank,290
11/25/2016,American Express,200
11/25/2016,listing below.  There is no,135
11/25/2016,Capital One,106
11/25/2016,U.S. Bank,97
11/25/2016,Citi\u00AE,75
11/25/2016,PNC BANK,65
11/25/2016,NAVY FEDERAL CREDIT UNION,63
11/25/2016,Citibank®,42
11/25/2016,TD Bank,37
11/25/2016,USAA Federal Savings Bank,36
11/25/2016,Citibank,27
11/25/2016,Regions Bank,27
11/25/2016,SunTrust,18
11/25/2016,Fifth Third Bank,16
11/25/2016,Elan Financial Services Fidelity,14
11/25/2016,State Employees' Credit Union,14
11/25/2016,TCF NATIONAL BANK,11
11/26/2016,Chase,572
11/26/2016,Bank of America,523
11/26/2016,Wells Fargo Bank,439
11/26/2016,American Express,189
11/26/2016,listing below.  There is no,132
11/26/2016,Capital One,100
11/26/2016,U.S. Bank,84
11/26/2016,Citi\u00AE,74
11/26/2016,PNC BANK,66
11/26/2016,NAVY FEDERAL CREDIT UNION,65
11/26/2016,Citibank,38
11/26/2016,Citibank®,32
11/26/2016,USAA Federal Savings Bank,28
11/26/2016,SunTrust,26
11/26/2016,TD Bank,25
11/26/2016,Regions Bank,20
11/26/2016,TCF NATIONAL BANK,14
11/26/2016,Fifth Third Bank,13
11/26/2016,State Employees' Credit Union,10
11/26/2016,America First Credit Union,9
11/27/2016,Chase,503
11/27/2016,Bank of America,485
11/27/2016,Wells Fargo Bank,271
11/27/2016,American Express,147
11/27/2016,listing below.  There is no,121
11/27/2016,Capital One,107
11/27/2016,U.S. Bank,82
11/27/2016,NAVY FEDERAL CREDIT UNION,74
11/27/2016,Citi\u00AE,64
11/27/2016,PNC BANK,59
11/27/2016,Citibank,35
11/27/2016,Citibank®,30
11/27/2016,Regions Bank,21
11/27/2016,USAA Federal Savings Bank,20
11/27/2016,TD Bank,20
11/27/2016,SunTrust,12
